Budget,Gross,Release Date,Runtime,Rating,Rating Count,Net Profit,ROI,Genre_Frequency,MPAA Rating_G,MPAA Rating_PG,MPAA Rating_PG-13,MPAA Rating_R,Genre_Action,Genre_Adventure,Genre_Animation,Genre_Comedy,Genre_Crime,Genre_Drama,Genre_Family,Genre_Fantasy,Genre_History,Genre_Horror,Genre_Mystery,Genre_Romance,Genre_Science Fiction,Genre_Thriller,Genre_War,Genre_Western
-0.786113180618639,215394738.0,6,-0.4293750560359287,-0.354717640142804,-0.5217272987261166,178394738.0,4.821479405405405,0.1854043392504931,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-0.7354361087433335,222300000.0,11,-1.5480941846655187,0.7760710419063609,-0.3692292459829382,182300000.0,4.5575,0.1242603550295858,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.7354361087433335,332000000.0,11,-0.4293750560359287,1.002228778316194,0.328464031490844,292000000.0,7.3,0.0611439842209073,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-0.6002972504091857,474171806.0,5,0.42085148172255976,1.4545442511358593,0.9907072670942496,426171806.0,8.878579291666666,0.0512820512820512,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.4820507493668063,63408614.0,12,-0.6083701166166631,-0.12855990373297083,-0.8119260918588405,8408614.0,0.1528838909090909,0.1499013806706114,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.1577450410375456,95904091.0,11,0.06286136056109094,0.4368344372916116,-0.9286819669512698,80904091.0,5.393606066666667,0.1104536489151873,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-1.2253144702046197,71600000.0,11,-0.6083701166166631,-0.9201119811673865,-0.6595487038945115,60600000.0,5.509090909090909,0.0552268244575936,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-1.1830835769751984,202000000.0,3,-1.1006065332136827,-0.12855990373297083,-0.8119260918588405,188500000.0,13.962962962962964,0.1499013806706114,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.1746373983293141,463000000.0,3,0.06286136056109094,0.09759783267686235,-0.21940169531903142,449000000.0,32.07142857142857,0.0512820512820512,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-1.1577450410375456,201957688.0,12,-0.29512876060037785,-0.9201119811673865,-0.6595487038945115,186957688.0,12.463845866666666,0.1499013806706114,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
