Budget,Gross,Release Date,Runtime,Rating,Rating Count,Net Profit,ROI,MPAA Rating_G,MPAA Rating_PG,MPAA Rating_PG-13,MPAA Rating_R,Genre_Action,Genre_Adventure,Genre_Animation,Genre_Comedy,Genre_Crime,Genre_Drama,Genre_Family,Genre_Fantasy,Genre_History,Genre_Horror,Genre_Mystery,Genre_Romance,Genre_Science Fiction,Genre_Thriller,Genre_War,Genre_Western
35000000.0,182300000.0,11,128.0,7.3,157496.0,147300000.0,4.208571428571428,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
40000000.0,205405498.0,12,189.0,8.0,132879.0,165405498.0,4.13513745,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
48000000.0,390493908.0,6,143.0,6.9,168877.0,342493908.0,7.13528975,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70000000.0,300854823.0,12,144.0,6.8,218151.0,230854823.0,3.297926042857142,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
75000000.0,152368585.0,5,137.0,6.7,67442.0,77368585.0,1.0315811333333331,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
100000000.0,520000000.0,7,137.0,8.5,930593.0,420000000.0,4.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3705538.0,62548947.0,9,112.0,7.2,48101.0,58843409.0,15.879855772630048,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11700000.0,88036683.0,1,110.0,8.2,348791.0,76336683.0,6.52450282051282,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14000000.0,159157447.0,8,131.0,8.2,348791.0,145157447.0,10.368389071428572,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18000000.0,358991681.0,11,120.0,6.7,269944.0,340991681.0,18.943982277777778,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20000000.0,121697323.0,2,94.0,7.0,135657.0,101697323.0,5.08486615,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25000000.0,411006740.0,11,129.0,6.3,110511.0,386006740.0,15.4402696,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28000000.0,504050219.0,11,90.0,8.0,336384.0,476050219.0,17.001793535714285,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31000000.0,90753806.0,3,115.0,6.8,70430.0,59753806.0,1.927542129032258,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
